UniprotID,manifest_order_index,base_completed,assigned_shard,assigned_gpu,assignment_reason
Q8YI91,4274,false,0,0,remaining_order_4204_mod_4
Q8YNL6,4275,false,1,1,remaining_order_4205_mod_4
Q8YQZ2,4276,false,2,2,remaining_order_4206_mod_4
Q8YQZ3,4277,false,3,3,remaining_order_4207_mod_4
Q8Z171,4278,false,0,0,remaining_order_4208_mod_4
Q8Z3E4,4279,false,1,1,remaining_order_4209_mod_4
Q8Z9M5,4280,false,2,2,remaining_order_4210_mod_4
Q8ZJB2,4281,false,3,3,remaining_order_4211_mod_4
Q8ZK89,4282,false,0,0,remaining_order_4212_mod_4
Q8ZNR6,4283,false,1,1,remaining_order_4213_mod_4
Q8ZQ52,4284,false,2,2,remaining_order_4214_mod_4
Q8ZR64,4285,false,3,3,remaining_order_4215_mod_4
Q8ZW35,4286,false,0,0,remaining_order_4216_mod_4
Q8ZWK3,4287,false,1,1,remaining_order_4217_mod_4
Q8ZYM4,4288,false,2,2,remaining_order_4218_mod_4
Q90029,4289,false,3,3,remaining_order_4219_mod_4
Q90030,4290,false,0,0,remaining_order_4220_mod_4
Q90033,4291,false,1,1,remaining_order_4221_mod_4
Q90054,4292,false,2,2,remaining_order_4222_mod_4
Q90185,4293,false,3,3,remaining_order_4223_mod_4
Q912W1,4294,false,0,0,remaining_order_4224_mod_4
Q91EK3,4295,false,1,1,remaining_order_4225_mod_4
Q91F87,4296,false,2,2,remaining_order_4226_mod_4
Q91FD5,4297,false,3,3,remaining_order_4227_mod_4
Q91FE4,4298,false,0,0,remaining_order_4228_mod_4
Q91FE8,4299,false,1,1,remaining_order_4229_mod_4
Q91FH7,4300,false,2,2,remaining_order_4230_mod_4
Q91FS1,4301,false,3,3,remaining_order_4231_mod_4
Q91HJ9,4302,false,0,0,remaining_order_4232_mod_4
Q91V76,4303,false,1,1,remaining_order_4233_mod_4
Q91YV9,4304,false,2,2,remaining_order_4234_mod_4
Q91ZI8,4305,false,3,3,remaining_order_4235_mod_4
Q92060,4306,false,0,0,remaining_order_4236_mod_4
Q92116,4307,false,1,1,remaining_order_4237_mod_4
Q921E2,4308,false,2,2,remaining_order_4238_mod_4
Q922H1,4309,false,3,3,remaining_order_4239_mod_4
Q92345,4310,false,0,0,remaining_order_4240_mod_4
Q923B6,4311,false,1,1,remaining_order_4241_mod_4
Q923S9,4312,false,2,2,remaining_order_4242_mod_4
Q92526,4313,false,3,3,remaining_order_4243_mod_4
Q92643,4314,false,0,0,remaining_order_4244_mod_4
Q92813,4315,false,1,1,remaining_order_4245_mod_4
Q92841,4316,false,2,2,remaining_order_4246_mod_4
Q92930,4317,false,3,3,remaining_order_4247_mod_4
Q929G2,4318,false,0,0,remaining_order_4248_mod_4
Q92L66,4319,false,1,1,remaining_order_4249_mod_4
Q92ZP9,4320,false,2,2,remaining_order_4250_mod_4
Q93070,4321,false,3,3,remaining_order_4251_mod_4
Q937Z1,4322,false,0,0,remaining_order_4252_mod_4
Q938W0,4323,false,1,1,remaining_order_4253_mod_4
