case_id,pollutant_name,parent_comp_id,parent_url,parent_smiles_original,parent_smiles_canonical,parent_inchikey,reaction_id,reaction_url,reaction_text,product_name,product_comp_id,product_url,product_smiles_original,product_smiles_canonical,product_inchikey,evidence_level,note,strict_v0_1_status
SPD-BBD-cbf,Carbofuran,c1285,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c1285,CNC(=O)Oc1cccc2CC(C)(C)Oc12,CNC(=O)Oc1cccc2c1OC(C)(C)C2,DUEPRVBVGDRKAG-UHFFFAOYSA-N,r1540,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r1540,,4-Hydroxycarbofuran,c1336,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c1336&ptype=c,CC1(C)Cc2c(O1)c(O)ccc2O,CC1(C)Cc2c(O)ccc(O)c2O1,SLQAZKPVCRVOTB-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-cbf,Carbofuran,c1285,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c1285,CNC(=O)Oc1cccc2CC(C)(C)Oc12,CNC(=O)Oc1cccc2c1OC(C)(C)C2,DUEPRVBVGDRKAG-UHFFFAOYSA-N,r1541,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r1541,,2-Hydroxy-3-(3-methylpropan-2-ol) benzene-N-methylcarbamate,c1337,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c1337&ptype=c,CNC(=O)Oc1cccc(CC(C)(C)O)c1O,CNC(=O)Oc1cccc(CC(C)(C)O)c1O,ILKNALUJMWELEO-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-cbf,Carbofuran,c1285,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c1285,CNC(=O)Oc1cccc2CC(C)(C)Oc12,CNC(=O)Oc1cccc2c1OC(C)(C)C2,DUEPRVBVGDRKAG-UHFFFAOYSA-N,r1549,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r1549,,3-Hydroxycarbofuran,c1342,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c1342&ptype=c,CNC(=O)Oc1cccc2C(O)C(C)(C)Oc12,CNC(=O)Oc1cccc2c1OC(C)(C)C2O,RHSUJRQZTQNSLL-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-dce,"1,2-Dichloroethane",c0001,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c0001,ClCCCl,ClCCCl,WSLDOOZREJYCGB-UHFFFAOYSA-N,r0001,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0001,,2-Chloroethanol,c0005,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0005&ptype=c,OCCCl,OCCCl,SZIFAVKTNFCBPC-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-dmta,"N,N-Diethyl-m-toluamide",c1352,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c1352,CCN(CC)C(=O)c1cccc(C)c1,CCN(CC)C(=O)c1cccc(C)c1,MMOXZBCLCQITDF-UHFFFAOYSA-N,r1837,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r1837,,m -Toluamide,c1600,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c1600&ptype=c,CCNC(=O)c1cccc(C)c1,CCNC(=O)c1cccc(C)c1,FPINATACRXASTP-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-dmta,"N,N-Diethyl-m-toluamide",c1352,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c1352,CCN(CC)C(=O)c1cccc(C)c1,CCN(CC)C(=O)c1cccc(C)c1,MMOXZBCLCQITDF-UHFFFAOYSA-N,r1838,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r1838,,"N , N -diethyl-3-(hydroxymethyl)benzamide",c1602,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c1602&ptype=c,CCN(CC)C(=O)c1cccc(CO)c1,CCN(CC)C(=O)c1cccc(CO)c1,FRZJZRVZZNTMAW-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-gly,Glyphosate,c0134,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c0134,[O-]C(=O)CNCP([O-])([O-])=O,O=C([O-])CNCP(=O)([O-])[O-],XDDAORKBJWWYJS-UHFFFAOYSA-K,r0072,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0072,,Sarcosine,c0135,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0135&ptype=c,CNCC([O-])=O,CNCC(=O)[O-],FSYKKLYZXJSNPZ-UHFFFAOYSA-M,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-mal,Malathion,c1457,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c1457&ptype=c,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,JXSJBGJIGXNWCI-UHFFFAOYSA-N,r1680,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r1680,,Diethyl malate,c1466,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c1466&ptype=c,CCOC(=O)CC(O)C(=O)OCC,CCOC(=O)CC(O)C(=O)OCC,VKNUORWMCINMRB-UHFFFAOYSA-N,eawag_bbd_reaction_page_evidence_downgraded,GPT audit noted weak enzyme/EC annotation for r1680; retained only for product-prediction benchmark with evidence downgrade.,accepted_strict_single_parent_v0_1
SPD-BBD-mal,Malathion,c1457,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c1457&ptype=c,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,JXSJBGJIGXNWCI-UHFFFAOYSA-N,r1701,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r1701,,Malaoxon,c1467,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c1467&ptype=c,CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC,WSORODGWGUUOBO-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-naph,Naphthalene,c0333,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0333&ptype=c,c1ccc2ccccc2c1,c1ccc2ccccc2c1,UFWIBTONFRDIAS-UHFFFAOYSA-N,r0334,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0334,,"cis-1,2-Dihydroxy-1,2-dihydronaphthalene",c0334,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0334&ptype=c,O[C@H]1C=Cc2ccccc2[C@H]1O,O[C@@H]1c2ccccc2C=C[C@@H]1O,QPUHWUSUBHNZCG-VHSXEESVSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
